,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C2H5I,-376.787363034356,0.03954084258298839,0.07043338351744836,-376.205916769254
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C2ClH5,-538.978504956669,0.04291680781758287,0.07140669679999552,-538.790772249159
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
DxARio_reactant,-836.844705071849,0.03447000598233589,0.07331000137144052,-836.097764070224
DxARio_product,-836.871885775435,0.034363151321219296,0.0741650323967815,-836.110079727235
