,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C5H11I,-494.511930109484,0.11883196511938511,0.1583280592213586,-493.917780913213
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C5ClH11,-656.704118783129,0.12218739904551912,0.15937840882681653,-656.501900080634
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
X0XH_3_reactant,-954.575089027448,0.1161846044009274,0.1614445456624377,-953.809499614325
X0XH_3_product,-954.599197422875,0.11432087444640977,0.1622542767866905,-953.82234020395
TS_X0XH_3_ll_ad_4-17_4-5,-954.545635203549,0.11502681957090095,0.1598004677338329,-953.767181722242
