,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC4H9,-2731.110489145442,0.09479102771549074,0.1290998145953549,-2730.254163663471
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_C4ClH9,-617.468286648582,0.09647017993691193,0.12945419096313301,-617.270647385393
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
kAjuf1_reactant,-3191.164888866814,0.09089352962132854,0.13186575285257884,-3190.144875620949
kAjuf1_product,-3191.188215642998,0.08966320887419821,0.13232221899585841,-3190.157721501263
