,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC4H9,-2731.104946664866,0.0940426676033998,0.1299439025138419,-2730.247111916238
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C4ClH9,-617.461857495525,0.09592268663404231,0.13045329400740135,-617.262699391332
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
eFoBVj_reactant,-3191.163298070705,0.08935670316373423,0.13289762561815535,-3190.138331577361
eFoBVj_product,-3191.179931825928,0.09013260884472714,0.13324254017537265,-3190.147919029423
TS_ts_guess_eFoBVj_template_3-14_3-4,-3191.14039157849,0.08992638584178618,0.13111243149958357,-3190.102535898096
