,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C4H9I,-455.270290137325,0.09255303287116111,0.12944085367140848,-454.67862857143
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C4ClH9,-617.461938212178,0.09591933221435052,0.13045969214311018,-617.262742503096
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
-RvfZ9_reactant,-915.327032554684,0.08840273405715177,0.13234954535405782,-914.568544330783
-RvfZ9_product,-915.356793492021,0.08854768645403338,0.1332489734444895,-914.582675755098
