,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC3H7,-2691.866280085452,0.06751014008877988,0.10023213280664456,-2691.013998275142
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C3ClH7,-578.223429857661,0.06926014685702507,0.10063249617003028,-578.030261499699
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
LdJQJE_reactant,-3151.925960863013,0.06315027864048758,0.10302714271084368,-3150.905027402973
LdJQJE_product,-3151.9382263352,0.06282954631345272,0.10343367561538039,-3150.914358421278
TS_LdJQJE_ll_ad_1-11_1-3,-3151.900209052276,0.061856648444072,0.10120740865836964,-3150.868452539755
