,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC2H5,-2652.622088061894,0.04098527198235461,0.07087364311499522,-2651.774873034053
r1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
p0_C2H5I,-376.78731246056,0.03962443170601036,0.07047191415335806,-376.205945289681
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
WElTUo_reactant,-2950.516943995872,0.03372944449891708,0.07370711778670545,-2949.095189791024
WElTUo_product,-2950.504515505669,0.03337550287338442,0.07328580984530621,-2949.09098606788
TS_ts_guess_WElTUo_template_1-8_1-2,-2950.483202736524,0.03280158419348461,0.07160662944357374,-2949.055835927957
