,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC3H7,-2691.866398326467,0.06749735141155497,0.10022131964799316,-2691.01411794967
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_C3ClH7,-578.223769513178,0.06924200903212391,0.10055339861300881,-578.030367045234
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
elSntm_reactant,-3151.926702689642,0.06221248144982441,0.10296926637513189,-3150.908216599079
elSntm_product,-3151.942180819094,0.06287383886642461,0.10341259846221101,-3150.917334072733
TS_elSntm_ll_ad_1-11_1-3,-3151.902333629695,0.061787952615033226,0.10116680546247646,-3150.870514787597
