,,,,Energies generated by autodE on: 2021-08-16. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC2H5,-2652.622198127147,0.04097872464746604,0.07086549642948967,-2651.77498631211
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_C2ClH5,-538.978700200755,0.04290900351216168,0.07132063970943843,-538.790909545397
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
ZhBBcG_reactant,-3112.682008633607,0.036301485586916135,0.07370702004772907,-3111.668230339308
ZhBBcG_product,-3112.695973357289,0.03555148953971863,0.0741654687051234,-3111.677014503173
TS_ZhBBcG_ll_ad_1-8_1-2,-3112.660291410295,0.035443618688433695,0.07189847525191952,-3111.634313235125
