,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC5H11,-2770.346988151106,0.1203009862663751,0.15880464443380024,-2769.486361034419
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C5ClH11,-656.70397456429,0.12219542827119163,0.15939880338333592,-656.501773419163
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
7cGXc2_reactant,-3230.403634634606,0.11553325836794284,0.16167541621634907,-3229.377089941439
7cGXc2_product,-3230.423382910015,0.11690811625115195,0.16228319576171402,-3229.387233693475
TS_ts_guess_7cGXc2_template_4-17_4-5,-3230.374475988314,0.11696300246657344,0.1602090461215215,-3229.332840428092
