,,,,Energies generated by autodE on: 2021-08-20. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C2H5I,-376.787363034356,0.039542880225358006,0.070434425325715,-376.205916769254
r1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
p0_BrC2H5,-2652.62205728502,0.04097850681240618,0.07092391614818733,-2651.774875860136
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
r97ZIx_reactant,-2950.504271219493,0.03308352801816325,0.07325124003271344,-2949.090870625659
r97ZIx_product,-2950.515513446492,0.03366495214132548,0.07371089746862126,-2949.093841320714
TS_r97ZIx_ll_ad_1-8_1-2,-2950.483125419413,0.032620822395213155,0.0716140565428831,-2949.055861000239
