,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC3H7,-2691.862314781788,0.06764252600322015,0.10073713753213896,-2691.010066418325
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C3ClH7,-578.218762705341,0.06945593462733698,0.10128591588886512,-578.025725376331
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
mWVXD0_reactant,-3151.92231026473,0.06382128772813697,0.1036817132697059,-3150.901357074523
mWVXD0_product,-3151.936788725853,0.06341219438213594,0.10413680156258813,-3150.910955213399
TS_ts_guess_mWVXD0_template_2-11_2-3,-3151.900530204371,0.06323943121423442,0.10180581275777376,-3150.868783734317
