,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC3H7,-2691.86242388046,0.06763001095615423,0.10072499368991837,-2691.010183652784
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_C3ClH7,-578.218716727209,0.06903895440148954,0.10123266064770546,-578.025734478568
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
T0ruYc_reactant,-3151.924891015512,0.06326004033866024,0.10362784196236245,-3150.904018960414
T0ruYc_product,-3151.93860187735,0.06281094448747662,0.10405908706448286,-3150.912934189917
TS_T0ruYc_ll_ad_2-11_2-3,-3151.902300055135,0.06305209090935876,0.10175122679955875,-3150.870559802126
