Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C3H7I,-416.027438905795,0.06636005011894654,0.10035600890657306,-415.441461742186
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C3ClH7,-578.219227089098,0.06952263950846406,0.10122515188179766,-578.025196643512
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
_-9-Oj_reactant,-876.087419396013,0.0618138533054926,0.10319411814365598,-875.332992773472
_-9-Oj_product,-876.114828108735,0.062157912726991206,0.10403977050988905,-875.346148658408
