,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC4H9,-2731.110361406712,0.09480633902231864,0.12911147874429876,-2730.254037686473
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C4ClH9,-617.468185264008,0.09652806532737468,0.12951653220326834,-617.270594445443
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
E40Q3X_reactant,-3191.16196040559,0.09086172758944848,0.13187848069166672,-3190.141715486004
E40Q3X_product,-3191.187834431531,0.08992819365870384,0.13240114032905106,-3190.156047605076
