,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_CH3I,-337.544953677231,0.014732188479876368,0.04054111219501296,-336.969631751202
r1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
p0_BrCH3,-2613.378631789022,0.01619663866986205,0.04108413249531953,-2612.537293688554
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
ssauTU_reactant,-2911.261918249267,0.007054912704074852,0.043341120948440844,-2909.854287990005
ssauTU_product,-2911.273035133491,0.006121067817800689,0.04388912910779777,-2909.857073493441
TS_ts_guess_ssauTU_template_0-5_0-1,-2911.244467588073,0.006771157878942683,0.04188616485012424,-2909.823861749775
