,,,,Energies generated by autodE on: 2021-08-20. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrCH3,-2613.378611949877,0.01619375126237876,0.04108378068876614,-2612.537293829615
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_CClH3,-499.734252470242,0.018018192152117675,0.041606784354378784,-499.55275550212
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
_e17EA_reactant,-3073.435430307651,0.00970762112058943,0.04388963365922937,-3072.428773461102
_e17EA_product,-3073.448933114399,0.008546671887227459,0.044459879767673356,-3072.436690488202
TS_ts_guess__e17EA_template_0-5_0-1,-3073.417884698934,0.009877585003363259,0.04218005898616498,-3072.39924077718
