,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C3H7I,-416.030671028429,0.06621681366940534,0.09987765720919359,-415.444103104752
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C3ClH7,-578.223477331676,0.06922201278209503,0.10061860439043042,-578.030319227409
p1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
2h5d_C_reactant,-876.088862771239,0.07083835768195991,0.1107064092311033,-875.335683061024
2h5d_C_product,-876.118755531634,0.06204115347596181,0.10345121908982127,-875.350799216823
TS_2h5d_C_ll_ad_1-11_1-3,-876.071739893849,0.06065866685608342,0.10096876840345677,-875.301850359678
