,,,,Energies generated by autodE on: 2021-08-16. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrCH3,-2613.378611949877,0.01619421670656167,0.04108425546994573,-2612.537293829615
r1_I,-297.891501901763,-0.013829481216056708,0.002360461062360402,-297.318467846745
p0_CH3I,-337.544952346364,0.014733765908443622,0.040541156831174846,-336.969631776294
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
RUvJTT_reactant,-2911.272516995593,0.006189980870926999,0.04391710485698305,-2909.856666160407
RUvJTT_product,-2911.261999832137,0.006565601291400096,0.04336820808764804,-2909.854112403079
TS_RUvJTT_ll_ad_0-5_0-1,-2911.244615911488,0.006912540612625963,0.04187815652826949,-2909.823942060846
