,,,,Energies generated by autodE on: 2021-08-16. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrCH3,-2613.378716065597,0.016189549574166014,0.0410801953903231,-2612.537401158559
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_CClH3,-499.734358793756,0.01800437917255777,0.041604145136529685,-499.552856831485
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
_0OI1y_reactant,-3073.436282918295,0.008473979278128601,0.04378685683300944,-3072.430052154456
_0OI1y_product,-3073.452958711981,0.009314692987889664,0.044413343281695196,-3072.439620318329
TS__0OI1y_ll_ad_0-5_0-1,-3073.41984527805,0.01044304142301391,0.0421665394959293,-3072.4012528261
