,,,,Energies generated by autodE on: 2021-08-16. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC2H5,-2652.622088061894,0.0409914870099145,0.07087380137903661,-2651.774873034053
r1_Cl,-460.046930133364,-0.012023407400785623,0.002360461062360402,-459.889621289513
p0_C2ClH5,-538.978548934704,0.04287930518146503,0.07138624410621996,-538.790779737204
p1_Br,-2573.71142888807,-0.013174299343807596,0.002360461062360402,-2572.882992423289
1-C58t_reactant,-3112.679406319903,0.03597335040313211,0.0736730300623339,-3111.665930075268
1-C58t_product,-3112.695451709905,0.03625919041389346,0.0741891140004526,-3111.675517678332
TS_1-C58t_ll_ad_1-8_1-2,-3112.658322083374,0.03568680584621505,0.07193574759469862,-3111.632306853182
