,,,,Energies generated by autodE on: 2021-08-17. Single point energies at  and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_BrC5H11,-2770.347003868767,0.12035373727215559,0.15886178357670405,-2769.48642254464
r1_Cl,-460.04969799585,-0.012023407400785623,0.002360461062360402,-459.89229773706
p0_C5ClH11,-656.704091390632,0.12207520372659149,0.15929081452990118,-656.50198829511
p1_Br,-2573.71400821956,-0.013174299343807596,0.002360461062360402,-2572.885468610797
Du4vX4_reactant,-3230.402213741623,0.11556974661681162,0.16147725228062793,-3229.37924408882
Du4vX4_product,-3230.422002126268,0.11632411105231738,0.16226236604957708,-3229.388770836919
TS_ts_guess_Du4vX4_template_4-17_4-5,-3230.376172211053,0.11658869695002479,0.16003385861219682,-3229.335113337583
